pot.no,genotype,stake,treatment,nodes.6.10,br.6.10,analyze6.17,wetmass6.17,nodes6.17,branches6.17,flrs6.17,BCA.lf.wt.mass.6.17,HL.lf.wt.mass.6.17,Bates.lf.wt.mass.6.17,AGwt.mass.6.17,BCA.absorbance.6.18,AGdry.mass.6.21,spc,analyze7.1,nodes7.1,branches7.1,flrs7.1,drplvs7.1,BCA.beta.lf.wt.mass.7.1,Bates.lf.wt.mass.7.1,beta.stem.wt.mass.7.1,AGwt.mass.7.1,env.6.17,AGdry.mass.7.8,env.7.8
100,T-16,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.100,1,10,0,1,2,249,143.1,146.1,13.2525,NA,4.567,3.779
101,T-16,white,0 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.101,1,9,4,1,3,249.8,146.9,160.9,12.8641,NA,4.443,3.781
103,T-16,white,0 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.103,1,9,10,1,0,259.7,143.2,152.6,15.1155,NA,4.623,3.755
107,T-16,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.107,1,10,8,1,1,257.3,158.2,144.2,15.7716,NA,4.684,3.804
108,T-16,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.108,1,12,5,1,0,227.5,178.3,136,13.9573,NA,4.636,3.778
110,T-16,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.110,1,10,6,3,0,259.4,151,160.8,13.1922,NA,4.566,3.783
111,T-16,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.111,1,9,2,1,3,265.8,158.7,168.8,13.4194,NA,4.541,3.782
112,T-16,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.112,1,9,9,1,0,241.8,159.7,144.3,15.6417,NA,4.672,3.795
113,T-16,white,0 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.113,1,10,5,1,1,239.6,160.5,178.5,14.5003,NA,4.588,3.777
116,T-16,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.116,1,11,0,1,1,244,143.7,154.6,14.0286,NA,4.562,3.824
117,T-16,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.117,1,12,8,1,3,168.8,145.6,147.5,16.0099,NA,4.737,3.787
119,T-16,white,0 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.119,1,9,3,1,0,258.7,145.7,154.3,14.0198,NA,4.629,3.85
120,T-16,white,0 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.120,1,10,7,1,0,243.6,155.8,177.2,15.236,NA,4.602,3.766
31,T-16,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.31,1,7,4,0,4,288.8,163,159.7,8.4348,NA,4.324,3.841
32,T-16,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.32,1,7,1,0,2,254.6,145.1,165.7,9.1705,NA,4.245,3.77
33,T-16,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.33,1,7,2,0,1,277,160.2,145.6,8.7406,NA,4.241,3.798
34,T-16,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.34,1,7,5,0,3,266.3,169.3,165.7,7.6775,NA,4.147,3.786
35,T-16,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.35,1,8,3,0,1,263,161.4,144.1,8.4262,NA,4.189,3.754
36,T-16,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.36,1,7,4,0,1,273.2,188.3,175.4,9.7045,NA,4.343,3.822
38,T-16,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.38,1,8,4,0,4,270,150.8,142.3,8.7751,NA,4.276,3.789
39,T-16,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.39,1,7,4,0,0,261.4,164.8,154.2,8.7847,NA,4.273,3.816
40,T-16,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.40,1,7,6,0,3,264.6,144.4,149.6,8.2949,NA,4.268,3.857
42,T-16,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.42,1,8,0,0,2,251.6,174.8,142.9,8.5418,NA,4.223,3.783
43,T-16,red,200 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.43,1,6,4,0,2,239.4,166.3,153.2,7.7701,NA,4.203,3.818
45,T-16,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.45,1,8,5,0,4,268.7,192.8,142.8,9.1309,NA,4.332,3.798
46,T-16,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.46,1,8,6,0,0,238.2,133.2,152.2,9.7772,NA,4.307,3.799
48,T-16,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.48,1,7,2,0,3,249.1,168.5,145.2,8.024,NA,4.195,3.773
49,T-16,red,200 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.49,1,7,4,0,1,226.7,153.8,145.6,7.6801,NA,4.196,3.797
55,T-16,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.55,1,7,6,0,1,247.1,153.7,137,8.1379,NA,4.19,3.758
56,T-16,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.56,1,7,4,0,1,246.5,145.7,139.3,8.0129,NA,4.16,3.752
59,T-16,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.59,1,8,3,0,1,264.2,178.2,155.3,8.1879,NA,4.163,3.746
60,T-16,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.60,1,7,4,0,2,256.7,160.6,157.5,9.0213,NA,4.276,3.808
91,T-16,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.91,1,10,6,2,0,248,140.1,168.8,14.1678,NA,4.65,3.821
92,T-16,white,0 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.92,1,9,8,1,0,257,164.8,154.7,14.626,NA,4.626,3.822
93,T-16,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.93,1,10,5,1,2,250.8,142,151,15.3331,NA,4.698,3.794
94,T-16,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.94,1,10,4,2,1,253.1,147.5,143.5,13.9183,NA,4.643,3.794
96,T-16,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.96,1,10,2,1,0,243,145.5,179.4,14.7401,NA,4.668,3.802
97,T-16,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.97,1,10,5,2,2,261.5,140.3,136.1,14.9453,NA,4.746,3.831
98,T-16,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.98,1,10,2,1,0,244,165.2,167.1,13.3181,NA,4.545,3.818
1,WI-9,red,200 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.1,1,4,4,2,0,241.4,149.1,111.8,6.116,NA,3.856,3.809
10,WI-9,red,200 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.10,1,5,8,3,0,253.2,151.8,147,6.4195,NA,4.113,3.764
11,WI-9,red,200 mM NaCl,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.11,1,5,8,3,0,236.8,143.9,168.7,6.2033,NA,4.095,3.775
12,WI-9,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.12,1,5,5,2,0,152.4,155.4,149,5.5686,NA,4.029,3.805
